SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021
162,31,0,205,0,0,0,A,Abie village,Nebraska,65,65,66
157,31,23,205,0,0,0,A,Abie village,Nebraska,65,65,66
71,31,23,205,28280,0,1,A,Abie village,Nebraska,65,65,66
50,31,1,0,0,0,0,A,Adams County,Nebraska,31205,31147,31027
61,31,67,0,275,0,0,A,Adams township,Nebraska,937,935,950
162,31,0,240,0,0,0,A,Adams village,Nebraska,606,605,619
157,31,67,240,0,0,0,A,Adams village,Nebraska,606,605,619
71,31,67,240,275,0,1,A,Adams village,Nebraska,606,605,619
61,31,107,0,310,0,1,A,Addison township,Nebraska,126,126,126
162,31,0,415,0,0,0,A,Ainsworth city,Nebraska,1613,1612,1615
157,31,17,415,0,0,1,A,Ainsworth city,Nebraska,1613,1612,1615
162,31,0,555,0,0,0,A,Albion city,Nebraska,1700,1691,1706
157,31,11,555,0,0,1,A,Albion city,Nebraska,1700,1691,1706
162,31,0,625,0,0,0,A,Alda village,Nebraska,653,651,643
157,31,79,625,0,0,1,A,Alda village,Nebraska,653,651,643
162,31,0,730,0,0,0,A,Alexandria village,Nebraska,146,146,142
157,31,169,730,0,0,1,A,Alexandria village,Nebraska,146,146,142
61,31,23,0,765,0,1,A,Alexis township,Nebraska,717,714,723
61,31,41,0,835,0,0,A,Algernon township,Nebraska,294,292,293
162,31,0,870,0,0,0,A,Allen village,Nebraska,353,352,348
157,31,51,870,0,0,0,A,Allen village,Nebraska,353,352,348
71,31,51,870,46415,0,1,A,Allen village,Nebraska,353,352,348
162,31,0,905,0,0,0,A,Alliance city,Nebraska,8152,8138,7971
157,31,13,905,0,0,1,A,Alliance city,Nebraska,8152,8138,7971
162,31,0,975,0,0,0,A,Alma city,Nebraska,1019,1011,1022
157,31,83,975,0,0,1,A,Alma city,Nebraska,1019,1011,1022
162,31,0,1150,0,0,0,A,Alvo village,Nebraska,113,113,113
157,31,25,1150,0,0,1,A,Alvo village,Nebraska,113,113,113
162,31,0,1290,0,0,0,A,Amherst village,Nebraska,201,201,200
157,31,19,1290,0,0,1,A,Amherst village,Nebraska,201,201,200
61,31,173,0,1377,0,1,A,Anderson township,Nebraska,126,126,123
162,31,0,1465,0,0,0,A,Anoka village,Nebraska,12,12,12
157,31,15,1465,0,0,0,A,Anoka village,Nebraska,12,12,12
71,31,15,1465,7520,0,1,A,Anoka village,Nebraska,12,12,12
162,31,0,1500,0,0,0,A,Anselmo village,Nebraska,108,108,107
157,31,41,1500,0,0,0,A,Anselmo village,Nebraska,108,108,107
71,31,41,1500,50685,0,1,A,Anselmo village,Nebraska,108,108,107
61,31,41,0,1570,0,0,A,Ansley township,Nebraska,607,603,606
162,31,0,1535,0,0,0,A,Ansley village,Nebraska,461,458,461
157,31,41,1535,0,0,0,A,Ansley village,Nebraska,461,458,461
71,31,41,1535,1570,0,1,A,Ansley village,Nebraska,461,458,461
50,31,3,0,0,0,0,A,Antelope County,Nebraska,6295,6276,6279
61,31,61,0,1605,0,0,A,Antelope township,Nebraska,200,200,200
61,31,89,0,1675,0,1,A,Antelope township,Nebraska,30,30,30
162,31,0,1780,0,0,0,A,Arapahoe city,Nebraska,984,981,982
157,31,65,1780,0,0,1,A,Arapahoe city,Nebraska,984,981,982
61,31,175,0,1885,0,0,A,Arcadia township,Nebraska,382,380,384
162,31,0,1850,0,0,0,A,Arcadia village,Nebraska,282,280,284
157,31,175,1850,0,0,0,A,Arcadia village,Nebraska,282,280,284
71,31,175,1850,1885,0,1,A,Arcadia village,Nebraska,282,280,284
61,31,21,0,1955,0,1,I,Arizona township,Nebraska,306,306,306
162,31,0,1990,0,0,0,A,Arlington village,Nebraska,1303,1307,1309
157,31,177,1990,0,0,0,A,Arlington village,Nebraska,1303,1307,1309
71,31,177,1990,49131,0,1,A,Arlington village,Nebraska,1303,1307,1309
61,31,41,0,2130,0,0,A,Arnold township,Nebraska,769,765,764
162,31,0,2095,0,0,0,A,Arnold village,Nebraska,596,593,591
157,31,41,2095,0,0,0,A,Arnold village,Nebraska,596,593,591
71,31,41,2095,2130,0,1,A,Arnold village,Nebraska,596,593,591
50,31,5,0,0,0,0,A,Arthur County,Nebraska,434,431,439
162,31,0,2200,0,0,0,A,Arthur village,Nebraska,129,128,130
157,31,5,2200,0,0,1,A,Arthur village,Nebraska,129,128,130
61,31,61,0,2270,0,1,A,Ash Grove township,Nebraska,109,108,109
162,31,0,2305,0,0,0,A,Ashland city,Nebraska,3087,3105,3191
157,31,155,2305,0,0,0,A,Ashland city,Nebraska,3087,3105,3191
71,31,155,2305,2340,0,1,A,Ashland city (pt.),Nebraska,2756,2772,2850
71,31,155,2305,9410,0,1,A,Ashland city (pt.),Nebraska,331,333,341
61,31,155,0,2340,0,0,A,Ashland township,Nebraska,3180,3199,3286
162,31,0,2375,0,0,0,A,Ashton village,Nebraska,195,195,195
157,31,163,2375,0,0,1,A,Ashton village,Nebraska,195,195,195
162,31,0,2550,0,0,0,A,Atkinson city,Nebraska,1301,1297,1298
157,31,89,2550,0,0,0,A,Atkinson city,Nebraska,1301,1297,1298
71,31,89,2550,2585,0,1,A,Atkinson city (pt.),Nebraska,1301,1297,1298
71,31,89,2550,44805,0,1,A,Atkinson city (pt.),Nebraska,0,0,0
61,31,89,0,2585,0,0,A,Atkinson township,Nebraska,1739,1733,1732
162,31,0,2620,0,0,0,A,Atlanta village,Nebraska,102,102,102
157,31,137,2620,0,0,1,A,Atlanta village,Nebraska,102,102,102
162,31,0,2655,0,0,0,A,Auburn city,Nebraska,3480,3488,3478
157,31,127,2655,0,0,1,A,Auburn city,Nebraska,3480,3488,3478
162,31,0,2690,0,0,0,A,Aurora city,Nebraska,4677,4661,4646
157,31,81,2690,0,0,1,A,Aurora city,Nebraska,4677,4661,4646
162,31,0,2795,0,0,0,A,Avoca village,Nebraska,180,180,183
157,31,25,2795,0,0,1,A,Avoca village,Nebraska,180,180,183
162,31,0,2830,0,0,0,A,Axtell village,Nebraska,737,740,749
157,31,99,2830,0,0,0,A,Axtell village,Nebraska,737,740,749
71,31,99,2830,32375,0,1,A,Axtell village,Nebraska,737,740,749
61,31,1,0,2900,0,0,A,Ayr township,Nebraska,452,450,449
162,31,0,2865,0,0,0,A,Ayr village,Nebraska,88,88,86
157,31,1,2865,0,0,0,A,Ayr village,Nebraska,88,88,86
71,31,1,2865,2900,0,1,A,Ayr village (pt.),Nebraska,43,43,42
71,31,1,2865,54150,0,1,A,Ayr village (pt.),Nebraska,45,45,44
